구간,명칭,코스(출발~도착),거리(km),시간
1구간,보문산 길,보문산 청년광장 - 보문산 시루봉 - 헬기장 - 보문사지 갈림길 - 구완터널 상부 - 오도산 - 철탑 - 금동고개,9.3,6
2구간,만인산 길,금동고개 소나무앞 - 돌탑봉 - 떡갈봉 - 삼각점봉 - 용궁사 갈림길 - 대전시계 - 먹치 - 만인산 정상 - 태조 태실 - 만인산 휴게소,13.1,7.5
3구간,머들령 길,만인산 자연학습원 입구 - 태조 태실 - 정기봉 - 골냄이고개 - 머들령(대진고속도로 마달터널) - 국사봉 - 닭재 - 삼괴동 덕산마을,12.5,7.5
4구간,식장산 길,삼괴동 덕산마을 느티나무 - 닭재 - 망덕봉 - 임도 - 동오리고개 - 식장산 해돋이 전망대 - 활공장 - 세천공원 - 세천고개,13.6,7.5
5구간,계족산성 길,계족산성길 - 동신고 입구 버스종점 - 비룡동 줄골장승 - 갈현성 - 임도 - 능성 - 질티고개 - 질현성 - 절고개 - 임도삼거리 - 봉황정 - 용화사 주차장,11,6.5
6구간,금강길,용화사 주차장 - 계족산 봉황정 - 임도 - 장동고개 - 대전철도차량 정비창 옆길 - 신탄진정수장 - 신흥선원 - 현도교 - 금강합류점 - 불무교 - 봉산동(구즉) 버스종점,13.5,7.5
7구간,금병산 길,봉산동(구즉) 버스종점 - 오봉산 - 보덕봉 - 용바위 - 대전시계 - 금병산 - 노루봉 - 군인아파트 - 자운대상가-자운노인정 - 하기숲캠핑장 - 외삼2동 마을회관 - 안산동 버스종점 ,17.2,7.5
8구간,우산봉 길,안산동 어두니마을 입구 - 어두니마을 - 안산동 산성 - 우산봉 - 갑하산 - 삽재 - 계룡휴게소,9,6
9구간,수통골 길,계룡휴게소 - 삽재 - 도덕봉 - 가리울골삼거리 - 자티고개 - 금수봉 - 빈계산 - 수통골 주차장,10,6
10구간,성북동 산성 길,수통골 주차장 - 빈계산 - 임도 - 범바위 - 용바위 - 임도 - 성북동산성 - 산장산 - 방동저수지(돌곽재),7.9,5.5
11구간,구봉산 길,방동저수지 입구 - 봉곡동 구봉산 등산로 초입 - 대고개 - 구름다리 - 구봉정 - 헬기장 - 괴곡동 - 고릿골마을 - 새뜸 느티나무 - 갑천 - 정림중 - 효자봉 - 쟁기봉 - 유등천 안영교,9.4,6.5
12구간,동물원 길,유등천 안영교 - 쟁기봉 - 장안봉 - 해철이봉 - 새고개 - 침산(만성산) - 뿌리공원 - 언고개 - 동물원 철책길 - 국사봉 - 동물원 후문 - 까치고개 - 보문산 시루봉 - 보문산 청년광장,11.5,7
